epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,499.218,1.16452,0.55961,0.787,0.79108,0.71407,0.76588,0.45769,1.05731,0.54967,0.79662,0.000293,0.000293,0.000293
118,503.345,1.14507,0.55819,0.78939,0.8011,0.73899,0.76726,0.45755,1.06396,0.54889,0.79553,0.00028475,0.00028475,0.00028475
119,507.626,1.1456,0.55623,0.78714,0.83056,0.71982,0.77711,0.45813,1.06017,0.55551,0.79455,0.0002765,0.0002765,0.0002765
120,511.754,1.12198,0.55095,0.79099,0.86326,0.71007,0.77162,0.46698,1.07091,0.56118,0.79571,0.00026825,0.00026825,0.00026825
121,516.011,1.15562,0.55559,0.78261,0.84622,0.73534,0.78073,0.4712,1.04586,0.54237,0.79333,0.00026,0.00026,0.00026
122,520.215,1.14993,0.55717,0.78287,0.85876,0.72409,0.77021,0.45918,1.0568,0.55024,0.79509,0.00025175,0.00025175,0.00025175
123,524.406,1.1313,0.55648,0.78985,0.88276,0.67715,0.76776,0.47217,1.05986,0.55358,0.79414,0.0002435,0.0002435,0.0002435
124,528.587,1.17988,0.56274,0.7847,0.85532,0.68914,0.75842,0.45318,1.06618,0.56373,0.7953,0.00023525,0.00023525,0.00023525
125,532.771,1.20558,0.57045,0.78396,0.86804,0.68331,0.7564,0.47195,1.05578,0.55328,0.79573,0.000227,0.000227,0.000227
126,536.892,1.10858,0.5456,0.78505,0.88096,0.68862,0.76252,0.46985,1.0555,0.54569,0.79348,0.00021875,0.00021875,0.00021875
127,541.037,1.14579,0.54883,0.78849,0.88266,0.68041,0.76505,0.47209,1.03975,0.54758,0.79459,0.0002105,0.0002105,0.0002105
128,545.383,1.14202,0.54995,0.78601,0.9228,0.67978,0.77696,0.47242,1.05884,0.53923,0.79374,0.00020225,0.00020225,0.00020225
129,549.557,1.14469,0.55304,0.78595,0.84581,0.73338,0.77819,0.47665,1.04828,0.54203,0.79338,0.000194,0.000194,0.000194
130,553.884,1.1075,0.5423,0.78727,0.84135,0.73575,0.78115,0.47024,1.04568,0.53844,0.79388,0.00018575,0.00018575,0.00018575
131,558.066,1.13379,0.54348,0.78443,0.85159,0.76306,0.79277,0.47801,1.04871,0.53292,0.79235,0.0001775,0.0001775,0.0001775
132,562.348,1.13591,0.54486,0.78712,0.86863,0.74041,0.79504,0.48016,1.04328,0.52853,0.793,0.00016925,0.00016925,0.00016925
133,566.455,1.11333,0.53903,0.78418,0.84946,0.75561,0.79753,0.47095,1.05493,0.53599,0.79364,0.000161,0.000161,0.000161
134,570.715,1.13152,0.54407,0.78837,0.82309,0.75898,0.79192,0.47508,1.04331,0.53781,0.79434,0.00015275,0.00015275,0.00015275
135,575.091,1.11939,0.54642,0.78813,0.88743,0.73298,0.79554,0.47285,1.04473,0.53624,0.79298,0.0001445,0.0001445,0.0001445
136,579.306,1.11056,0.54281,0.78788,0.87182,0.72164,0.78038,0.47895,1.04462,0.53228,0.79338,0.00013625,0.00013625,0.00013625
137,583.442,1.12522,0.54182,0.78359,0.89173,0.73003,0.79408,0.47354,1.04113,0.53279,0.79283,0.000128,0.000128,0.000128
138,587.6,1.1507,0.55,0.7815,0.80854,0.75162,0.78867,0.47069,1.0385,0.53442,0.79342,0.00011975,0.00011975,0.00011975
139,591.787,1.10041,0.53793,0.78917,0.89026,0.75341,0.7981,0.48058,1.04578,0.53168,0.79265,0.0001115,0.0001115,0.0001115
140,596.029,1.12693,0.53589,0.77982,0.85657,0.74018,0.78869,0.47857,1.02874,0.53022,0.79256,0.00010325,0.00010325,0.00010325
141,630.027,1.03234,0.51979,0.79296,0.83059,0.74672,0.78386,0.47451,1.04203,0.53368,0.79349,9.5e-05,9.5e-05,9.5e-05
142,633.984,1.01773,0.51729,0.79685,0.86678,0.73511,0.79367,0.47434,1.04107,0.53478,0.79404,8.675e-05,8.675e-05,8.675e-05
143,637.851,1.02429,0.51181,0.78929,0.88318,0.71936,0.78545,0.46793,1.05626,0.54319,0.79619,7.85e-05,7.85e-05,7.85e-05
144,641.664,1.02541,0.51612,0.79405,0.80917,0.73649,0.772,0.47124,1.05117,0.53915,0.7936,7.025e-05,7.025e-05,7.025e-05
145,645.671,1.02503,0.51237,0.79386,0.83024,0.74657,0.78402,0.47458,1.04309,0.53315,0.79396,6.2e-05,6.2e-05,6.2e-05
146,649.664,1.03079,0.515,0.78958,0.82533,0.73709,0.77324,0.47235,1.04697,0.53744,0.79378,5.375e-05,5.375e-05,5.375e-05
147,653.723,1.00514,0.5048,0.79601,0.84964,0.7229,0.7755,0.46989,1.04273,0.53732,0.79446,4.55e-05,4.55e-05,4.55e-05
148,657.662,1.0125,0.5041,0.79158,0.83858,0.73201,0.77515,0.47175,1.03961,0.53372,0.79368,3.725e-05,3.725e-05,3.725e-05
149,661.692,1.00412,0.50719,0.79445,0.82995,0.74825,0.78214,0.47843,1.03937,0.53164,0.79418,2.9e-05,2.9e-05,2.9e-05
150,665.6,1.00663,0.50165,0.79079,0.8361,0.74251,0.77847,0.47835,1.03681,0.53265,0.79412,2.075e-05,2.075e-05,2.075e-05
